home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
Indiana,4,Trine,1,Big Ten,Not D1
Wake Forest,1,NC State,0,ACC,ACC
High Point,0,Gardner-Webb,1,Big South,Big South
FIU,2,Memphis,2,The American,The American
UCF,4,South Carolina,0,Sun Belt,Sun Belt
UAB,2,South Fla.,4,AAC,The American
Louisville,2,SMU,3,ACC,ACC
Syracuse,2,Pittsburgh,0,ACC,ACC
Duke,4,Notre Dame,0,ACC,ACC
James Madison,0,Georgia St.,1,Sun Belt,Sun Belt
Ga. Southern,2,Old Dominion,3,Sun Belt,Sun Belt
Bowling Green,3,Western Mich.,0,MVC,MVC
Bryant,0,UMBC,1,America East,America East
Navy,0,Boston U.,1,Patriot,Patriot
NJIT,0,New Hampshire,0,America East,America East
Kentucky,1,Marshall,1,Sun Belt,Sun Belt
Bucknell,1,Lafayette,1,Patriot,Patriot
Wright St.,1,Cleveland St.,4,Horizon,Horizon
North Carolina,0,Boston College,1,ACC,ACC
UIC,2,Bradley,0,MVC,MVC
Missouri St.,6,Evansville,1,MVC,MVC
Tulsa,0,Temple,1,AAC,The American
NIU,2,Drake,3,MVC,MVC
Stanford,0,California,1,ACC,ACC
Stony Brook,0,William & Mary,2,CAA,CAA
Drexel,5,Col. of Charleston,1,CAA,CAA
Iona,2,Manhattan,1,MAAC,MAAC
George Washington,1,La Salle,2,Atlantic 10,Atlantic 10
Rider,2,Marist,2,MAAC,MAAC
VMI,1,Wofford,2,SoCon,SoCon
Marquette,2,Creighton,5,Big East,Big East
Seton Hall,1,Villanova,0,Big East,Big East
St. John's (NY),2,Georgetown,0,Big East,Big East
UConn,0,Akron,0,Big East,Big East
Longwood,2,Radford,2,Big South,Big South
Fairfield,2,Canisius,2,MAAC,MAAC
Butler,3,DePaul,5,Big East,Big East
Niagara,0,Quinnipiac,1,MAAC,MAAC
Providence,1,Xavier,0,Big East,Big East
Loyola Chicago,4,Saint Joseph's,1,Atlantic 10,Atlantic 10
St. Thomas (MN),0,Omaha,5,Summit League,Summit League
Siena,2,Mount St. Mary's,2,MAAC,MAAC
Saint Mary's (CA),3,Gonzaga,1,WCC,WCC
St. Bonaventure,1,Massachusetts,5,Atlantic 10,Atlantic 10
Merrimack,3,Sacred Heart,2,MAAC,MAAC
Cornell,3,Harvard,0,Ivy League,Ivy League
Yale,0,Penn,1,Ivy League,Ivy League
FGCU,0,Queens (NC),1,ASUN,ASUN
Northeastern,3,UNCW,0,CAA,CAA
UNC Greensboro,3,ETSU,2,SoCon,SoCon
Sacramento St.,2,UC Davis,4,Big West,Big West
Campbell,1,Elon,2,CAA,CAA
Jacksonville,3,Lipscomb,2,ASUN,ASUN
Winthrop,2,Presbyterian,5,Big South,Big South
VCU,0,George Mason,0,Atlantic 10,Atlantic 10
USC Upstate,1,UNC Asheville,4,Big South,Big South
Dartmouth,1,Princeton,2,Ivy League,Ivy League
Duquesne,1,Fordham,1,Atlantic 10,Atlantic 10
Fla. Atlantic,6,Charlotte,1,The American,The American
Dayton,4,Saint Louis,1,Atlantic 10,Atlantic 10
Stetson,1,Bellarmine,1,ASUN,ASUN
North Florida,2,Central Ark.,6,ASUN,ASUN
Furman,1,Mercer,1,SoCon,SoCon
Hofstra,4,Delaware,0,CAA,CAA
Rhode Island,1,Davidson,2,Atlantic 10,Atlantic 10
Oral Roberts,0,Denver,1,Summit League,Summit League
Portland,5,LMU (CA),0,WCC,WCC
Cal St. Fullerton,1,CSUN,1,Big West,Big West
Pacific,0,San Diego,1,WCC,WCC
UC Riverside,2,UC Santa Barbara,0,Big West,Big West
UC San Diego,2,UC Irvine,2,Big West,Big West
Cal Poly,1,CSU Bakersfield,0,Big West,Big West
Michigan St.,0,Rutgers,1,Big Ten,Big Ten
UCLA,0,Washington,1,Big Ten,Big Ten
Howard,0,Mercyhurst,2,NEC,NEC
Liberty,2,UIW,2,OVC,OVC
Maryland,1,Ohio St.,2,Big Ten,Big Ten
Stonehill,5,Chicago St.,1,NEC,NEC
Saint Francis,4,Le Moyne,0,NEC,NEC
LIU,1,Central Conn. St.,0,NEC,NEC
Eastern Ill.,0,SIUE,3,OVC,OVC
Western Ill.,1,Houston Christian,0,OVC,OVC
Lindenwood,7,Southern Ind.,0,OVC,OVC
Columbia,1,Brown,3,Ivy League,Ivy League
Wisconsin,1,Michigan,1,Big Ten,Big Ten
Northwestern,4,Penn St.,1,Big Ten,Big Ten
San Diego St.,2,Air Force,0,WAC,WAC
Utah Tech,2,UNLV,1,WAC,WAC
Oregon St.,1,San Francisco,1,WCC,WCC
Seattle U,5,Grand Canyon,0,WAC,WAC
San Jose St.,0,UTRGV,0,WAC,WAC
California Baptist,0,Utah Valley,1,WAC,WAC
Kansas City,12,Avila,0,Summit League,Not D1
St. John's (NY),7,CCNY,1,Big East,Not D1
Green Bay,1,Milwaukee,1,Horizon,Horizon
Northern Ky.,1,Wright St.,4,Horizon,Horizon
Cleveland St.,3,Robert Morris,2,Horizon,Horizon
IU Indy,0,Purdue Fort Wayne,1,Horizon,Horizon
New Hampshire,4,UMass Lowell,0,America East,America East
Colgate,3,Army West Point,0,Patriot,Patriot
Holy Cross,1,Boston U.,1,Patriot,Patriot
Vermont,1,Binghamton,1,America East,America East
Loyola Maryland,0,Bucknell,0,Patriot,Patriot
Coastal Carolina,1,UCF,2,Sun Belt,Sun Belt
UMBC,2,NJIT,0,America East,America East
Old Dominion,1,James Madison,0,Sun Belt,Sun Belt
UAlbany,0,Bryant,4,America East,America East
Lafayette,1,Lehigh,2,Patriot,Patriot
Navy,1,American,3,Patriot,Patriot
Georgia St.,4,Kentucky,7,Sun Belt,Sun Belt
South Carolina,3,Ga. Southern,0,Sun Belt,Sun Belt
Marshall,0,West Virginia,0,Sun Belt,Sun Belt
Saint Peter's,0,Iona,4,MAAC,MAAC
Quinnipiac,3,Fairfield,1,MAAC,MAAC
Western Mich.,2,UIC,1,MVC,MVC
UC Davis,2,CSU Bakersfield,1,Big West,Big West
Rider,3,Mount St. Mary's,0,MAAC,MAAC
Canisius,1,Niagara,0,MAAC,MAAC
UNC Asheville,3,Longwood,4,Big South,Big South
Sacred Heart,0,Manhattan,0,MAAC,MAAC
North Carolina,1,California,2,ACC,ACC
Clemson,3,Louisville,1,ACC,ACC
Winthrop,1,Presbyterian,2,Big South,Big South
Marist,2,Siena,5,MAAC,MAAC
Evansville,2,Belmont,2,MVC,MVC
Duke,2,Virginia Tech,0,ACC,ACC
Wake Forest,2,Syracuse,1,ACC,ACC
NC State,1,Virginia,2,ACC,ACC
Drake,0,Missouri St.,1,MVC,MVC
Bradley,3,NIU,3,MVC,MVC
SMU,1,Boston College,0,ACC,ACC
UC Irvine,1,Cal St. Fullerton,0,Big West,Big West
Oregon St.,3,Bowling Green,1,WCC,MVC
Stanford,3,Notre Dame,2,ACC,ACC
Warner,0,Stetson,4,Not D1,ASUN
Indiana,0,Michigan,1,Big Ten,Big Ten
Monmouth,1,UNCW,1,CAA,CAA
Le Moyne,1,LIU,2,NEC,NEC
Central Conn. St.,3,Stonehill,2,NEC,NEC
FDU,4,Saint Francis,1,NEC,NEC
Maryland,0,UCLA,6,Big Ten,Big Ten
Hofstra,3,Col. of Charleston,2,CAA,CAA
Washington,0,Michigan St.,0,Big Ten,Big Ten
Chicago St.,3,Howard,1,NEC,NEC
Fla. Atlantic,0,FIU,1,The American,The American
Wofford,3,VMI,0,SoCon,SoCon
Furman,2,Mercer,0,SoCon,SoCon
Dayton,1,Davidson,0,Atlantic 10,Atlantic 10
George Mason,2,La Salle,0,Atlantic 10,Atlantic 10
Charlotte,3,Temple,1,The American,The American
Massachusetts,0,Saint Louis,0,Atlantic 10,Atlantic 10
Georgetown,1,Creighton,0,Big East,Big East
Harvard,2,Dartmouth,0,Ivy League,Ivy League
Princeton,0,Penn,1,Ivy League,Ivy League
Omaha,1,Denver,2,Summit League,Summit League
Cornell,4,Columbia,1,Ivy League,Ivy League
Saint Mary's (CA),2,San Francisco,3,WCC,WCC
St. John's (NY),2,Seton Hall,0,Big East,Big East
Central Ark.,3,Queens (NC),2,ASUN,ASUN
Bryant,4,NJIT,0,America East,America East
Colgate,2,Lehigh,1,Patriot,Patriot
American,2,Loyola Maryland,2,Patriot,Patriot
Duquesne,0,Fordham,3,Atlantic 10,Atlantic 10
FGCU,1,Bellarmine,1,ASUN,ASUN
Akron,3,DePaul,1,Big East,Big East
Brown,1,Yale,0,Ivy League,Ivy League
Providence,2,UConn,0,Big East,Big East
UMBC,1,Binghamton,0,America East,America East
Kansas City,2,Oral Roberts,1,Summit League,Summit League
Gonzaga,0,Pacific,2,WCC,WCC
San Diego,0,Portland,2,WCC,WCC
UC Santa Barbara,2,UC Irvine,1,Big West,Big West
Santa Clara,0,LMU (CA),1,WCC,WCC
Western Mich.,1,Evansville,2,MVC,MVC
Quinnipiac,1,Marist,2,MAAC,MAAC
Iona,3,Mount St. Mary's,0,MAAC,MAAC
Siena,2,Manhattan,1,MAAC,MAAC
Green Bay,3,Cleveland St.,1,Horizon,Horizon
Milwaukee,1,Purdue Fort Wayne,0,Horizon,Horizon
UNC Greensboro,1,Furman,1,SoCon,SoCon
Lindenwood,2,Western Ill.,1,OVC,OVC
Rider,1,Sacred Heart,0,MAAC,MAAC
ETSU,1,Wofford,1,SoCon,SoCon
Elon,0,Hofstra,2,CAA,CAA
Clemson,1,Stanford,0,ACC,ACC
UCLA,1,Michigan,1,Big Ten,Big Ten
Gardner-Webb,2,Presbyterian,0,Big South,Big South
West Virginia,3,Ga. Southern,2,Sun Belt,Sun Belt
Marshall,3,Old Dominion,2,Sun Belt,Sun Belt
Drexel,0,UNCW,2,CAA,CAA
SMU,2,Wake Forest,2,ACC,ACC
Cal Poly,1,UC Davis,1,Big West,Big West
Liberty,2,UIW,3,OVC,OVC
Ohio St.,3,Washington,1,Big Ten,Big Ten
Bowling Green,4,UIC,1,MVC,MVC
High Point,1,Longwood,0,Big South,Big South
Duke,0,California,2,ACC,ACC
Utah Valley,0,San Jose St.,1,WAC,WAC
Kentucky,1,South Carolina,0,Sun Belt,Sun Belt
UCF,1,James Madison,2,Sun Belt,Sun Belt
Pittsburgh,0,Virginia,2,ACC,ACC
California Baptist,1,Utah Tech,0,WAC,WAC
Stetson,0,Central Ark.,3,ASUN,ASUN
North Florida,3,FGCU,0,ASUN,ASUN
Bucknell,1,American,1,Patriot,Patriot
Boston U.,0,Colgate,1,Patriot,Patriot
Houston Christian,2,Lindenwood,0,OVC,OVC
Drake,0,Bowling Green,1,MVC,MVC
New Hampshire,0,Bryant,0,America East,America East
San Diego St.,2,San Jose St.,3,WAC,WAC
Vermont,2,UMBC,1,America East,America East
George Mason,1,Saint Louis,2,Atlantic 10,Atlantic 10
Dayton,2,Fordham,0,Atlantic 10,Atlantic 10
Missouri St.,0,Evansville,1,MVC,MVC
SIUE,1,UIW,0,OVC,OVC
West Virginia,2,Kentucky,1,Sun Belt,Sun Belt
Marshall,1,James Madison,0,Sun Belt,Sun Belt
Seattle U,3,California Baptist,1,WAC,WAC
Iona,3,Marist,1,MAAC,MAAC
Oakland,2,Green Bay,0,Horizon,Horizon
Saint Francis,1,LIU,4,NEC,NEC
Robert Morris,1,Milwaukee,0,Horizon,Horizon
South Fla.,0,Charlotte,1,The American,The American
Providence,2,St. John's (NY),1,Big East,Big East
Wake Forest,5,Virginia,1,ACC,ACC
FDU,3,Le Moyne,2,NEC,NEC
Rider,1,Siena,0,MAAC,MAAC
Akron,1,Georgetown,2,Big East,Big East
Memphis,1,FIU,3,The American,The American
Clemson,3,California,2,ACC,ACC
Penn,2,Brown,1,Ivy League,Ivy League
Cornell,2,Princeton,3,Ivy League,Ivy League
UC Santa Barbara,0,UC Davis,2,Big West,Big West
Oakland,0,Robert Morris,1,Horizon,Horizon
Denver,1,Kansas City,2,Summit League,Summit League
High Point,1,Gardner-Webb,2,Big South,Big South
Bucknell,3,Colgate,0,Patriot,Patriot
Hofstra,1,UNCW,0,CAA,CAA
North Florida,3,Central Ark.,3,ASUN,ASUN
SIUE,3,Houston Christian,2,OVC,OVC
Bowling Green,2,Evansville,3,MVC,MVC
Seattle U,3,San Jose St.,0,WAC,WAC
LMU (CA),0,San Diego,1,WCC,WCC
Portland,3,Oregon St.,2,WCC,WCC
San Francisco,1,Santa Clara,0,WCC,WCC
Pacific,3,Saint Mary's (CA),1,WCC,WCC
Clemson,1,Wake Forest,1,ACC,ACC
Dayton,3,Saint Louis,0,Atlantic 10,Atlantic 10
FDU,0,LIU,0,NEC,NEC
Providence,1,Georgetown,2,Big East,Big East
Charlotte,2,FIU,1,The American,The American
Penn,1,Princeton,3,Ivy League,Ivy League
Iona,1,Rider,0,MAAC,MAAC
West Virginia,0,Marshall,0,Sun Belt,Sun Belt
Vermont,2,Bryant,1,America East,America East
ETSU,0,Furman,2,SoCon,SoCon
Ohio St.,1,Michigan,0,Big Ten,Big Ten
Massachusetts,2,Evansville,1,Atlantic 10,MVC
Western Mich.,5,SIUE,1,MVC,OVC
Cornell,4,Fordham,2,Ivy League,Atlantic 10
North Carolina,0,Furman,0,ACC,SoCon
West Virginia,2,North Florida,1,Sun Belt,ASUN
Akron,1,Princeton,0,Big East,Ivy League
Vermont,5,Iona,0,America East,MAAC
Michigan,2,Robert Morris,0,Big Ten,Horizon
NC State,2,Charlotte,1,ACC,The American
Maryland,5,LIU,2,Big Ten,NEC
Providence,2,Bucknell,1,Big East,Patriot
Saint Louis,0,Kansas City,2,Atlantic 10,Summit League
Oregon St.,0,Gardner-Webb,1,WCC,Big South
Washington,0,Seattle U,0,Big Ten,WAC
San Diego,1,UC Davis,0,WCC,Big West
UCLA,0,UC Santa Barbara,1,Big Ten,Big West
Ohio St.,2,Western Mich.,1,Big Ten,MVC
Pittsburgh,1,Cornell,0,ACC,Ivy League
Denver,3,Gardner-Webb,0,Summit League,Big South
Georgetown,0,NC State,2,Big East,ACC
Dayton,2,Michigan,0,Atlantic 10,Big Ten
Penn,0,Massachusetts,1,Ivy League,Atlantic 10
Hofstra,1,Vermont,2,CAA,America East
Wake Forest,2,Maryland,1,ACC,Big Ten
Clemson,2,Providence,0,ACC,Big East
Duke,0,San Diego,1,ACC,WCC
Virginia,2,West Virginia,1,ACC,Sun Belt
SMU,2,Washington,1,ACC,Big Ten
Marshall,4,Furman,0,Sun Belt,SoCon
Indiana,2,Akron,1,Big Ten,Big East
Missouri St.,1,Kansas City,2,MVC,Summit League
Stanford,2,UC Santa Barbara,2,ACC,Big West
Denver,1,Indiana,0,Summit League,Big Ten
Dayton,1,SMU,3,Atlantic 10,ACC
Virginia,0,Massachusetts,1,ACC,Atlantic 10
Marshall,2,NC State,1,Sun Belt,ACC
Ohio St.,0,Stanford,0,Big Ten,ACC
Pittsburgh,3,Kansas City,2,ACC,Summit League
Wake Forest,2,Clemson,1,ACC,ACC
San Diego,0,Vermont,1,WCC,America East
Ohio St.,3,Wake Forest,0,Big Ten,ACC
Pittsburgh,0,Vermont,2,ACC,America East
Denver,3,Massachusetts,0,Summit League,Atlantic 10
SMU,2,Marshall,3,ACC,Sun Belt
Ohio St.,0,Marshall,1,Big Ten,Sun Belt
Denver,1,Vermont,1,Summit League,America East
Marshall,1,Vermont,2,Sun Belt,America East
