Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Roman Warren,UC Irvine,Midfielder,761,1,1,15,6,8,64
Owen Parrish,IU Indy,Midfielder,862,0,0,6,2,5,64
Glodie Mata,Canisius,Forward,901,1,2,9,6,11,64
Andy Sullins,Virginia Tech,Forward,697,1,1,25,8,13,64
Damian Gallegos,VCU,Midfielder,761,1,1,22,9,13,64
Simon Knuewe,Northern Ky.,Midfielder,844,1,0,7,1,2,64
Mark Nakamura,George Washington,Defender,916,0,1,0,0,9,64
Tarek Hamideh,UC Riverside,Midfielder,759,1,2,5,2,15,64
Bryce Koagel,Le Moyne,Midfielder,778,0,0,7,1,8,64
Edgar Bazan,Temple,Midfielder,840,1,0,7,3,8,64
Oliver Einarsson,ETSU,Midfielder,783,2,5,12,6,1,64
Misael Gonzalez,UC Irvine,Forward,903,5,1,25,13,11,64
Kwame Adu-Gyamfi,UConn,Midfielder,695,0,0,3,1,17,64
Anthony Hidalgo,Gonzaga,Defender,740,0,1,2,0,8,64
Blake Driehuis,Saint Joseph's,Forward,1215,5,1,36,12,11,64
Cesar Banacloy,Drexel,Defender,579,0,2,17,5,17,64
Luke Halkett,USC Upstate,Midfielder,1339,2,0,13,4,22,64
Jack Burkhardt,Boston College,Unknown,1301,0,3,17,4,7,63
Daniil Kaban,Howard,Forward,827,2,1,18,8,9,63
Steven Ramirez,San Diego,Forward,769,4,1,16,7,15,63
Tyler Philpott,Western Ill.,Unknown,959,2,2,36,17,15,63
Jason Buezo,Utah Tech,Forward,1058,1,1,23,8,18,63
Luis Garcia,Providence,Midfielder,664,1,0,15,3,14,63
Alex Kiss,Central Ark.,Defender,699,0,1,2,1,5,63
Alex Solomis,San Francisco,Midfielder,672,0,0,12,4,12,63
Joshua Ceniceros,Chicago St.,Defender,1070,0,0,0,0,5,63
Issa Mudashiru,Princeton,Defender,641,2,0,5,3,5,63
Lex Vaughan,Saint Peter's,Midfielder,906,0,3,9,3,15,63
Aidan Wright,Colgate,Midfielder,742,1,3,8,4,10,63
Will Francis,Princeton,Forward,779,3,0,23,12,12,63
James Jennings,Missouri St.,Forward,612,7,4,20,11,10,63
Joe Liebe,George Washington,Defender,857,1,1,6,3,3,63
Gavin House,UC Davis,Defender,681,0,0,1,1,4,63
Lucas Gonzalez,Gardner-Webb,Midfielder,604,2,2,10,6,13,63
Jackson Fyda,Saint Mary's (CA),Defender,754,0,0,0,0,11,63
Guy Panzner,NJIT,Defender,662,0,0,3,1,7,63
Fraser Brown,Northeastern,Forward,805,5,1,23,11,18,63
Filipe Bastos,Bryant,Forward,835,0,0,3,1,7,63
Kristjan Gunnarsson,Harvard,Defender,647,1,2,3,1,3,63
Ivan Montoro,Rhode Island,Midfielder,755,1,0,7,3,7,63
Alex Perez,Virginia Tech,Midfielder,608,3,3,16,7,1,63
Sota Matsuo,UTRGV,Forward,944,1,1,9,1,11,63
Dario Stadler,USC Upstate,Forward,890,1,4,20,8,13,63
Edson Flores,Canisius,Midfielder,766,2,1,7,5,11,63
Kevin Welch,UC Davis,Midfielder,703,0,1,9,4,9,63
Rafael Pinzon,Stetson,Midfielder,708,1,0,1,1,15,63
Wade Muttitt,Saint Mary's (CA),Forward,888,4,2,25,15,14,63
Colin Beasley,La Salle,Forward,810,8,1,34,14,14,63
Colin Elder,Bellarmine,Forward,785,2,1,20,7,25,63
