Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Luis Maestre,George Mason,Defender,2,6,25,8,19,1504,86.0,False
Liam Bennett,NC State,Defender,0,5,7,2,11,1511,86.0,False
Lukas Magnason,Clemson,Defender,2,0,10,5,17,1694,86.0,False
Josh Erlandson,Bowling Green,Defender,1,1,7,5,16,1779,86.0,False
Mathias Baucher,San Diego,Defender,0,2,4,0,11,1530,86.0,False
Brady Treinen,UC Irvine,Defender,0,5,14,6,5,1645,86.0,False
Ian Pilcher,Charlotte,Defender,1,0,8,3,20,1477,86.0,True
Riley Thomas,North Carolina,Defender,0,0,6,2,17,1636,86.0,True
Bobby Pauly,SIUE,Defender,0,0,2,0,18,1691,86.0,False
Liam Guske,Seton Hall,Defender,1,0,2,2,10,1576,86.0,False
Fravolini Whitchurch,Princeton,Defender,1,0,12,4,1,1704,86.0,False
Bailey Sparks,SMU,Forward,9,10,49,23,29,1804,86.0,True
Tim Timchenko,Iona,Defender,1,2,15,7,11,1695,86.0,False
Tate Johnson,North Carolina,Defender,1,2,10,3,38,1518,86.0,True
Tommy Mihalic,Indiana,Forward,10,5,60,19,25,1544,86.0,False
Owen Mikoy,Campbell,Defender,1,1,9,3,10,1575,86.0,False
Bjorn Nikolajewski,St. John's (NY),Defender,0,1,9,4,14,1668,86.0,False
Jack Wagner,Milwaukee,Defender,1,0,6,3,18,1710,86.0,False
Joran Gerbet,Clemson,Midfielder,7,8,33,12,33,1607,86.0,True
Chay Strine,James Madison,Defender,0,0,6,1,17,1503,85.0,False
Dyson Clapier,Akron,Midfielder,5,8,52,23,22,1579,85.0,False
Hjalti Sigurdsson,Dayton,Midfielder,8,7,34,17,16,1771,85.0,False
Luciano Pechota,Ohio St.,Midfielder,5,7,37,12,30,1705,85.0,False
Ben Sheffield,Bucknell,Defender,2,1,9,6,3,1543,85.0,False
Jacob Blackwin,Colgate,Defender,1,2,7,3,12,1678,85.0,False
Max Fisher,Gardner-Webb,Defender,4,2,24,11,23,1607,85.0,False
Grady Easton,Saint Louis,Defender,1,1,8,3,14,1466,85.0,False
Luis Flores,Oral Roberts,Forward,7,4,48,18,30,1090,85.0,False
Andrew Johnson,Cornell,Defender,2,0,8,3,12,1535,85.0,True
Braxton Arpachinda,Western Mich.,Defender,3,2,18,10,8,1443,85.0,False
Devonte Richards,Central Ark.,Defender,7,5,49,25,23,1447,85.0,False
Peleg Brown,UC Santa Barbara,Defender,0,4,20,6,18,1502,85.0,False
Christian Bejar,Boston College,Defender,1,1,21,6,10,1497,85.0,False
Matthew Fisher,Michigan,Defender,1,3,5,5,38,1546,85.0,False
Jojo Ocran,UMBC,Defender,0,1,3,1,22,1580,85.0,False
Josh Adam,Michigan St.,Defender,0,0,5,4,6,1550,85.0,False
Emmanuel Hagan,UNC Greensboro,Defender,0,0,8,1,5,1489,85.0,False
Lucca Dourado,UCF,Forward,5,0,18,10,11,495,85.0,False
Elias Khodri,Gardner-Webb,Forward,9,1,51,27,13,1156,85.0,False
Dylan Steely,Belmont,Defender,3,1,23,10,24,1488,85.0,False
Javi Sanchez,George Mason,Defender,3,4,12,7,9,1529,85.0,False
Andrew De Gannes,Oregon St.,Defender,0,3,6,4,10,1564,85.0,False
Kosi Udeh,Robert Morris,Forward,5,2,20,11,10,609,85.0,False
Bryant Mayer,Northwestern,Defender,0,7,3,1,9,1405,85.0,False
Bernardo Prego,Providence,Defender,0,4,6,1,18,1456,85.0,False
Thomas Lamaille,St. John's (NY),Defender,1,3,21,9,22,1415,85.0,False
Jordi Sanchez,George Mason,Defender,1,5,7,2,8,1518,85.0,False
Fabian Wagner,Saint Francis,Forward,7,4,32,16,6,970,85.0,False
Josemir Gomez,Butler,Forward,8,2,38,17,30,1019,85.0,False
Aboubacar Traore,Fla. Atlantic,Midfielder,4,10,30,11,18,1147,85.0,False
Kevin Leonhard,FDU,Forward,10,3,40,22,19,1212,85.0,False
Marcus Caldeira,West Virginia,Forward,11,1,63,30,19,1408,85.0,False
Jackson Delkus,Saint Louis,Forward,3,1,9,7,8,331,85.0,False
Jesper Moksnes,Duquesne,Defender,0,2,9,2,8,1529,85.0,False
Nicklas Lund,Oregon St.,Defender,0,2,6,0,9,1612,85.0,False
Gabe Dahlin,Monmouth,Defender,1,2,14,2,18,1404,85.0,False
Adam Lundegard,Clemson,Defender,0,2,8,4,21,1561,85.0,False
Joschi Schelb,Saint Francis,Midfielder,9,8,39,18,10,1229,85.0,False
Bautista Rossi,Iona,Forward,8,2,43,24,34,1017,85.0,False
Victor Gaulmin,Akron,Midfielder,5,9,34,12,14,1284,85.0,False
Johan Hamel,UConn,Defender,0,0,3,1,33,1453,85.0,False
Raphael Kistmann,Kansas City,Midfielder,8,6,42,23,18,1114,85.0,False
Guilherme Feitosa,Pittsburgh,Midfielder,3,9,37,14,28,1611,85.0,False
William Kulvik,Maryland,Defender,2,2,10,7,24,1690,85.0,True
Ryder Barrett,Drake,Defender,0,0,2,0,28,1492,85.0,False
Nikola Markovic,NC State,Defender,0,2,11,4,14,1527,85.0,False
Nigel Prince,Northwestern,Defender,2,0,9,4,13,1510,85.0,False
Nolan Miller,Michigan,Defender,2,0,4,4,13,1659,85.0,False
Gus Peacock,Bowling Green,Defender,0,0,1,0,14,1635,85.0,False
Jake Roberts,Campbell,Defender,1,0,10,4,34,1485,85.0,False
Lasse Kelp,UMBC,Defender,1,1,18,6,34,1530,85.0,False
Reid Roberts,San Francisco,Defender,0,2,13,5,20,1530,85.0,True
Daniel Krueger,Wake Forest,Defender,1,0,11,4,21,1524,85.0,False
Mathias Winum,UC Irvine,Defender,0,0,3,0,10,1690,85.0,False
Kieran Chandler,UConn,Defender,0,4,10,5,27,1378,85.0,True
David Wrona,Ohio St.,Forward,5,4,24,14,21,740,85.0,False
Will Baker,Michigan,Defender,0,0,7,2,11,1706,85.0,False
Jackson Gilman,Pittsburgh,Defender,0,1,10,2,5,1522,85.0,False
Luis Bremaud,Dayton,Defender,0,0,3,1,6,1620,85.0,False
Jackson Castro,Creighton,Midfielder,9,7,42,19,21,1331,85.0,False
Leonardo Ambrosio,Col. of Charleston,Midfielder,9,7,47,24,3,1275,85.0,False
Omar Mora,Oral Roberts,Forward,10,1,44,26,17,1215,85.0,False
Cooper Nunn,American,Defender,1,0,3,3,8,1660,84.0,False
